model,alpha,RMSE,MAE,R2,seconds,max_depth,min_samples_leaf,n_estimators,hidden_layers,epochs
Ridge,0.1,0.03334026853152074,0.01749913799137304,0.9947260593256755,0.13528970000334084,,,,,
Ridge,1.0,0.033321122778544036,0.017484565179540373,0.9947321147402008,0.15229529998032376,,,,,
Ridge,10.0,0.0332385140720425,0.017420261171927947,0.9947582023217139,0.12963270000182092,,,,,
Ridge,100.0,0.03342826273009194,0.017632625157902662,0.9946981838095997,0.11379770003259182,,,,,
Decision Tree,,0.04204424939963223,0.02555421862211261,0.9916129301398493,0.22329049999825656,5.0,1.0,,,
Decision Tree,,0.04204424939963223,0.02555421862211261,0.9916129301398493,0.2174846999696456,5.0,5.0,,,
Decision Tree,,0.04204424939963223,0.02555421862211261,0.9916129301398493,0.23071489995345473,5.0,20.0,,,
Decision Tree,,0.03642212576783737,0.018720153359874384,0.9937059870422035,0.37554489995818585,10.0,1.0,,,
Decision Tree,,0.03446727080579203,0.018485621519142598,0.9943634826770723,0.3729454000131227,10.0,5.0,,,
Decision Tree,,0.03323258281334568,0.018256216932914796,0.9947600729037757,0.3718784000375308,10.0,20.0,,,
Decision Tree,,0.04349130198162099,0.022655796251873223,0.9910256733793202,0.6856087000342086,20.0,1.0,,,
Decision Tree,,0.037168134151659926,0.02061872854269219,0.9934455150100259,0.5960629000328481,20.0,5.0,,,
Decision Tree,,0.033642450225218556,0.018579092595291506,0.9946300246717947,0.48098599998047575,20.0,20.0,,,
Decision Tree,,0.04353846745291051,0.023796049382716053,0.991006197859212,0.8423896000022069,,1.0,,,
Decision Tree,,0.03732389610365081,0.020860226190476193,0.9933904636255563,0.6295641000033356,,5.0,,,
Decision Tree,,0.0336428335814671,0.018579234480821567,0.994629902289191,0.4765122000244446,,20.0,,,
Random Forest,,0.030633395269175735,0.016513574930537157,0.995547670238962,3.0460554999881424,10.0,2.0,50.0,,
Random Forest,,0.03032737332115547,0.016172913889526314,0.9956361818127082,5.238861299993005,20.0,2.0,50.0,,
Random Forest,,0.030327289898150332,0.01618916709370876,0.9956362058202161,5.789231400005519,,2.0,50.0,,
Random Forest,,0.03056188095548166,0.016491420015819713,0.9955684340911187,5.9784231999656186,10.0,2.0,100.0,,
Random Forest,,0.03013763917742162,0.01608510564040326,0.9956906128601806,10.973714499967173,20.0,2.0,100.0,,
Random Forest,,0.030158374446009092,0.0161067809269931,0.9956846809397218,11.349586199969053,,2.0,100.0,,
MLP,0.0001,0.0330709497309354,0.021836103425003913,0.9948109197447372,9.785705900052562,,,,"(64,)",35.0
MLP,0.0001,0.034873595037498185,0.02308381237638853,0.9942298049549763,19.235490400053095,,,,"(64, 32)",50.0
MLP,0.001,0.0338923296494236,0.022461060121090115,0.9945499573985526,17.114664799999446,,,,"(64, 32)",45.0
